William Orbit,The Monkey King,0.032466,0.031043
Olivier Messiaen,Livre D'orgue (1951) : VII Soixante-Quatre Durées (Remasterisé En 2008),0.037903,0.031389
Furry Lewis,Judge Boushay Blues,0.24808,0.031811
Eduardo Fernandez / Norbert Blume / English Chamber Orchestra / George Malcolm,1. Allegro,0.302417,0.033134
ZombieSuckers,The Nightmare Begins,0.038533,0.035693
Sean Callery,Jack and Benton,0.033097,0.035948
Bessie Smith,Gin House Blues,0.392429,0.036302
Angel Romero / The Academy of St. Martin in the Fields / Iona Brown,Largo,0.564595,0.036611
Pat Metheny / Charlie Haden,Message To A Friend,0.071824,0.036774
Philip Glass,The Kiss: Golden Coins,0.036167,0.037856
Lauren Wagner & Fred Weldy,Social Note,0.344171,0.038412
Kurt Tepperwein,Subliminal mit Naturgeraeuschen,0.037473,0.038668
Dave Eggar,Dream Of Ice,0.144068,0.038933
Salieri,Now everybody's gone,0.061261,0.039165
Jimmy Wakely,Beautiful Brown eyes,0.510033,0.039835
Igor Stravinsky,The Owl and the Pussy-cat,0.448887,0.041027
Jacques Douai,Le Dormeur du Val,0.091332,0.04111
Steve Smith,Blue Cave,0.079725,0.04202
Vince Guaraldi Trio,Yesterdays,0.052289,0.0424
Eberhard Weber,Unfinished Self-Portrait,0.525306,0.042588
Bruce Rowland,Let's Call Him Andre,0.128378,0.043378
Nine Inch Nails,The Frail,0.117186,0.043988
Birmingham Jubilee Singers,King Jesus Is My Captain,0.732576,0.044414
William Goldstein,French Suite: A Paris Thing,0.113328,0.044689
Ramón Vargas,Dal labbro il canto,0.038897,0.044814
Charlie Haden & Chris Anderson,Alone Together,0.118099,0.045933
Chris Clark,Tyre,0.235204,0.046089
Billy May & His Orchestra,Tenderly,0.19146,0.046132
Hushabye Baby,So Small (Lullaby Rendition of Carrie Underwood),0.169284,0.046168
Mat Maneri,Iron Man,0.551062,0.046911
Karan Casey,Sliabh Geal gCua,0.399766,0.047615
Spade Cooley,Lover,0.395495,0.049538
Jacques Douai,L'Etang Chimérique,0.186957,0.049807
Pee Wee King,Where Were You Last Night,0.644145,0.050135
Roger Williams,I'm In The Mood For Love,0.079829,0.052952
Raze,Always And Forever (Bff)  (Power Album Version),0.675061,0.053017
David Taylor,Concertino for Bass Trombone and Trombone Choir,0.080237,0.053256
Kathy Troccoli,How Deep The Father's Love For Us,0.323244,0.054651
John Frizzell,Carrie's Theme,0.117382,0.054881
Stephan Micus,part 2 - Winterlight,0.04084,0.055201
Sir Neville Marriner,Ancient Airs and Dances (1996 Digital Remaster)_ Suite No. 2: III.  Campanae parisienses (anon.) - Aria (Marin Mersenne),0.072811,0.055354
Yuko Kanzaki,Seikurabe (Karaoke),0.2667,0.056189
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,Miserere: XVII. Quoniam Si Voluisses,0.156873,0.056507
Mark Feldman_ John Taylor_ Anders Jormin_ Tom Rainey,Everafter,0.036324,0.056852
The Baltimore Consort,Howells Delight,0.57935,0.058013
Blind Willie McTell,Writing Paper Blues,0.330964,0.058419
Bob Neuwirth,Biding Her Time,0.326057,0.059218
Alice Stuart,Woman Blue,0.254134,0.059795
Josh White,This Heart Of Mine,0.46774,0.060949
Megadrums,Tschung Mori,0.248646,0.061472
Hélio Ziskind,Era um dia desses,0.300744,0.062927
Elmer Bernstein,Drown The Dog!,0.037531,0.062929
Terry Callier,Satin Doll,0.094936,0.066399
Brian Keane,Battle Of The Rosebud / Cries,0.045276,0.066648
The Baltimore Consort,The Beautiful Shepherdess of Arcadia,0.571782,0.067127
Nick Ingman,"The Marquis and the Scaffold (From \Quills\"")""",0.038349,0.067306
Tony Martin,Ebb Tide,0.120953,0.067472
Danny Elfman,Birdies,0.0701,0.06856
Memphis Minnie,Pig Meat On The Line,0.359297,0.068972
Hem,Have Yourself A Merry Little Christmas,0.324107,0.0696
Rickie Lee Jones,Just My Baby,0.429218,0.070731
Blind Lemon Jefferson,Long Distance Moan,0.572117,0.071205
William Goldstein,Bartholdi's Dream,0.032659,0.07263
Mance Lipscomb,Going Down Slow,0.68781,0.072762
Kingston Trio,Scotch and Soda,0.324108,0.074041
Martin Sexton,White Christmas,0.299348,0.075572
The Highwaymen,Abilene,0.216426,0.075844
Scott Krippayne,In The Name Of God (Gentle Revolution Album Version),0.20522,0.076248
Chico Hamilton,Autumn In New York,0.082371,0.076422
Flora Purim,Latinas,0.039949,0.077569
João Gilberto / Gilberto Gil / Caetano Veloso,Cordeiro De Nana,0.421382,0.079429
Red Foley,Old Shep,0.777425,0.079503
John Debney,Porcelain Man,0.046788,0.07969
John Tchicai,Musica Sacra Nova: Morgen I Frydenlund,0.031253,0.080783
Bruce Rowland,Rosemary Recalls,0.039517,0.081834
Maximilian Hecker,Birch,0.039466,0.081988
Georges Delerue,Le Théâtre / Bof L'Important C'Est D'Aimer,0.082248,0.08435
Kol Simcha,Nigun,0.576121,0.08445
Eliane Elias,All The Things You Are,0.148426,0.084739
Ray Charles,Heartbreaker,0.864883,0.085753
Joselito,En Un Pueblito Español,0.587024,0.085878
Dolores Keane,Dangerous Dance,0.174947,0.089267
Max Steiner,Presenting The Eight Wonder Of The World,0.328642,0.089539
Brian Tyler,I Dream Of Chi Chi,0.394139,0.090497
Philippe Sarde,Grand Frère,0.112383,0.090517
Gene Clark,Set You Free This Time,0.427509,0.092006
Sylvester Weaver,Alligator Blues,0.402576,0.093229
Jimmy Wakely,If Santa Claus Could Bring You Back To Me,0.500916,0.093292
Rolfe Kent,Bill's Speech - A New Kind of Warrior,0.076427,0.093402
The Shirrows,Jenny Jenny,0.969783,0.094021
Billy Butler,I'm Gonna Make Her Mine - Original,0.67492,0.094788
Rakim,Outro,0.667576,0.095443
Erik Berglund,Angel Of Heaven's Gate,0.070013,0.095784
Grizzly Bear,Deep Blue Sea (Daniel Rossen home recording),0.162957,0.095909
Jimmy Wyble,No More Blues,0.659039,0.097672
Moss,Orchard,0.037229,0.098794
Ann Hampton Callaway,Time After Time,0.229416,0.099539
Patsy Cline,A Poor Man's Roses,0.27005,0.100158
Herbert Von Karajan,Variations Sur Un Theme De Haydn Op51,0.170402,0.100887
Jim Chappell,Still,0.038814,0.101016
Bill Douglas,Caroline,0.340213,0.10183
Rickie Lee Jones,Coolsville (Live Acoustic Version),0.404963,0.10183
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth,0.37825,0.102793
Simon & Garfunkel,Old Friends,0.242788,0.102857
Phil Spector,Spanish Harlem,0.403045,0.103004
Jason Miles,Flamenco Sketches (Intro),0.162819,0.103415
Gabriel Yared,Devon,0.035537,0.103641
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,Miserere: XI. Cor Mundum,0.118521,0.105176
Thomas Battenstein,Nun singet und seid froh,0.362077,0.105549
Jane Winther,Deep Voices,0.032884,0.105604
Hank Locklin,Send Me The Pillow You Dream On,0.492581,0.106198
Sofia Karlsson,I denna ljuva sommartid,0.359737,0.106381
Terry Muska,Lagrima,0.417331,0.106547
Arturo Sandoval,My Funny Valentine,0.155118,0.109349
Margaret Becker,Stay Close To Me,0.199006,0.110065
James Newton Howard,Voices,0.037592,0.110121
Claire Hamill,Sidney Gorgeous,0.691912,0.110333
Kitty Kallen,If You Smile At The Sun,0.851552,0.11052
Harry Lauder,Portobello Lass,0.541754,0.110673
Ramón Vargas_ Sängerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer,Adeste fideles,0.317927,0.111145
Frankie Randall,Winter Wonderland,0.31195,0.111279
Flora Purim,Tomara (I Wish),0.130438,0.111427
Mink DeVille,Heaven Stood Still,0.254718,0.111563
Jo Privat,Rodriguez Pena,0.92366,0.112
Rickie Lee Jones,It Must Be Love (Live Acoustic Version),0.377748,0.112375
Jorge Alfano,Cuycha,0.829611,0.112653
Jacques Douai,Chanson De La Patience,0.48833,0.114414
Forensics,I Need To Talk To Hank Hank,0.026942,0.114889
Sui Generis,Cuando Ya Me Empiece A Quedar Solo,0.084288,0.115244
Angelo Badalamenti,Dinner Party Pool Music,0.510639,0.117156
Pumpkin Buzzard,000GrandPno,0.339755,0.118863
Jim Chappell,Almost Us,0.046958,0.119108
William Orbit,Love My Way,0.125883,0.11978
Marco Beltrami,Past Meets Present,0.03479,0.120956
Spiral Stairs,Ladies And Gentlemen,0.260888,0.121428
Marlene Dietrich,No Love No Nothing,0.529023,0.121835
Frank Stokes,It Won't Be Long Now,0.377268,0.122071
Keb'Mo',Anybody Seen My Girl,0.389144,0.122415
Ximena Sarinana,Mediocre (Version original),0.551024,0.123993
The Roches,Christlike Roche,0.145863,0.124305
Marty Robbins,Have Thine Own Way Lord,0.306746,0.124604
Nancy Walker,Ya Got Me,0.754997,0.125255
Eric Demarsan,Valérie,0.059801,0.126091
Dee Clark,Whispering Grass - Original,0.344334,0.126282
Burt Bacharach,Love Theme (The Falling In Love),0.109917,0.127931
John Mayer,Comfortable,0.109593,0.12888
Michael Bloomfield,I Must See Jesus,0.360169,0.128891
Brand X,Collapsar,0.143109,0.130085
Don Gibson,Release Me,0.412315,0.130146
Attack Attack,Outro,0.055125,0.131042
Slim Whitman,Indian Love Call,0.219091,0.133639
Gustavo Santaolalla,Endless Flight,0.216015,0.133961
Richard Burton,I See The Boys Of Summer,0.495297,0.134017
Oak Ridge Boys,Hide Thou Me,0.162542,0.135117
Frank Stokes,Nehi Mamma Blues,0.478195,0.135453
Julien Clerc,Comme Si C'était Doux,0.169284,0.135547
Joshua Rifkin,Réjouissance [I'll Cry Instead],0.840104,0.135831
The Irish Tenors,Mountains Of Mourne,0.304228,0.136045
Bénabar,Christelle Est Une Ordure,0.547427,0.136966
Rainbow,Rainbow Eyes,0.150385,0.137554
Lightnin' Hopkins,Everyday I Have The Blues,0.551583,0.139111
Charlie Rich,You Don't Know Me,0.190193,0.139241
Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,Werther - Lyric Drama in four Acts/Act I/Rêve! Extase! Bonheur!,0.037769,0.139306
Ada Jane,The Queen's Treatment,0.12831,0.139562
Champion Jack Dupree,Christina Christina Blues,0.228917,0.1401
Champion Jack Dupree,Christina Christina Blues,0.228917,0.1401
Viktor Krauss,Side Street,0.204302,0.140912
James Newton Howard,U North,0.022014,0.140959
Ma Rainey,Hear Me Talking To You,0.595437,0.141098
John Sebastian,Sportin' Life,0.35611,0.141309
Ethel Merman,Small World,0.196971,0.14221
Herbert Von Karajan,Si Mi Chiamano Mimila Boheme Act1 Remast,0.03601,0.142896
Frank Chacksfield,Someone to Watch Over Me,0.24116,0.143246
Ann Hampton Callaway,Skylark,0.077499,0.143871
Timo Maas,Bad Days,0.375263,0.143879
Yuridia,Estar Junto A Ti (Angel),0.088482,0.144094
Mance Lipscomb,Motherless Children (Remastered Version) (Take 2),0.394951,0.144332
Skeeter Davis,My Last Date (With You),0.474019,0.144851
Bob Margolin,No Consolation,0.496902,0.145188
Gary Moore,Nothing's The Same,0.077905,0.145233
Abijah,Children Of Love,0.380505,0.145827
Otis Spann,Evil Ways,0.778411,0.146427
Charlie Patton,34 Blues,0.428798,0.146516
Eddie Cantor,When My Ship Comes In,0.437444,0.146517
Steve Erquiaga,Prelude In C Minor From The Well Tempered-Clavier,0.445592,0.147011
Twila Paris,How Beautiful (Cry For The Desert Album Version),0.259131,0.147421
Angelo Badalamenti,Taryns Deepest Fear,0.08411,0.147474
Alexandre Desplat,Le Chagrin de Coco,0.036272,0.147707
Orlando Pops Orchestra,El Manisero,0.590493,0.148917
Charlie Byrd Trio,Travellin' On,0.548633,0.148919
The Gentle Good,Hiraeth am Feirion,0.09404,0.148978
Tom Barabas,Canon In D,0.216576,0.148978
Charlie Byrd,How Insensitive,0.295199,0.149083
Chanta Vielma,Rio Grnade,0.506634,0.149488
Thomas Battenstein,Sympathy,0.18494,0.149618
Shunza,Dear Friend,0.136468,0.150276
Seamus Egan,The Munster Cloak,0.492167,0.150798
Jack Johnson,You And Your Heart,0.451865,0.151672
Radiohead,Bullet Proof ... I Wish I Was (Acoustic),0.096368,0.152466
The Balustrade Ensemble,Crushed Pears,0.171396,0.152868
Edu Lobo,Canto Triste,0.114584,0.152943
Russ Morgan,I Heard You Cry,0.205897,0.153004
Roger Williams,The High and The Mighty,0.117448,0.153144
Moon Mullican,The Tie That Binds,0.46554,0.153231
Paul Cantelon,The Other Boleyn Girl - Opening Titles,0.035224,0.153299
White Heart,In His Name,0.176927,0.153575
Elliot Goldenthal,Vortex,0.024834,0.153687
Babbie Mason,Isn't That Just Like God (Medium Key Performance Track Without Background Vocals),0.118335,0.153811
The Waybacks,McHattie's Waltz,0.377089,0.154948
Charlie Byrd,It Don't Mean A Thing (If It Ain't Got That Swing),0.535389,0.155246
Teena Marie,Light,0.434069,0.155874
Sanna Nielsen,Då är det jul,0.223883,0.156308
Jacques Douai,Mes Belles Amourettes,0.295178,0.156711
Christie Hennessy,Roll Back The Clouds,0.344941,0.157445
Electric Light Orchestra,Indian Queen,0.328575,0.157613
Nick Ingman;Gavyn Wright,Wessex Loses a Bride,0.039305,0.15774
Billy Bragg,Goodbye (Solo Version),0.383598,0.158198
Kevin Burke,Brendan McGlinchey's Reel (Splendid Isolation) / Sweeney's Buttermilk (medley),0.967135,0.158604
Herbert Von Karajan,"Die Fledermaus - Operette in drei Akten/Silvester-Einlagen/Dein ist mein ganzes Herz (aus \Das Land des Lächelns\"")""",0.174434,0.158734
Mississippi Fred McDowell,You Gotta Move,0.336706,0.158886
K'Naan,Is It A Myth?,0.451284,0.158984
Suzanne Ciani,Stream,0.294629,0.15944
Pierre Boulez,"Pli Selon Pli (\fold according to fold\"")/IV.  Improvisation sur Mallarmé III""",0.059879,0.159813
Bill Douglas,Highland,0.590848,0.160135
FIR,Lydia [Piano Version],0.058634,0.160181
Bill & Gloria Gaither,God Lead Us Along (Homecoming Hymns Version),0.156373,0.160198
Washboard Sam,I'm On My Way Blues,0.875821,0.160478
John Frizzell,DEFCON 4,0.119977,0.160668
Sophie Tucker,Complainin',0.677094,0.160758
Billie Jo Spears,Permanently Lonely,0.219787,0.161143
Brian Dullaghan,And I Love You So,0.157121,0.161367
The Roots / Jaguar,We Got You (Featuring Jaguar),0.775272,0.161371
Poncho Sanchez / Dianne Reeves,Morning,0.640217,0.161553
Fläskkvartetten / Thåström,t.k.k.,0.425979,0.162118
John Sebastian,Waiting For A Train [Live],0.341314,0.162246
Dixie Chicks,Lullaby,0.283547,0.162676
João Gilberto,Meditacao,0.276295,0.162729
Piero Umiliani,Apertura in jazz,0.134363,0.163505
Babbie Mason,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),0.075697,0.163764
Joanna Connor,Meditations,0.161191,0.164863
Erja Lyytinen,Soul Of A Man,0.443795,0.16581
Jerry Goldsmith,The Keys,0.119733,0.166121
Johnny Nash,I See God,0.137366,0.167047
Gabriel Yared,La clé parfumée,0.045847,0.167348
Maurane,Juste Une Petite Fille,0.149465,0.169666
Paulo Flores,Belina,0.075817,0.169914
Funeral For A Friend,Building,0.28874,0.170163
Sergio Franchi,Arrivederci Roma,0.244224,0.17018
Tex Williams,Castle Of My Dreams,0.62599,0.170199
Vivian Khor,Loves Parting,0.045531,0.170592
Marlene Dietrich,Laziest Gal In Town,0.51909,0.170677
Jimmy Wakely,Midnight Wind,0.460965,0.171118
Southside Johnny Lyon,Please Come Home For Christmas**,0.645726,0.17114
Rodney O_ Joe Cooley,Let's Have Some Fun,0.278982,0.171536
Oscar Castro-Neves,Air On A Six String,0.136367,0.171557
Johnny Otis,Lovers Lane Boogie,0.585241,0.172763
Gus Viseur,Le Bal Du P'tit Jardin,0.779298,0.17349
Tommy McLain,Let It Be Me,0.377104,0.173839
Eden's Bridge,By My Spirit  (),0.141934,0.174262
Jacob Young,In A Subtle Way,0.636015,0.17438
Frank Chacksfield,Beginner's Luck,0.781854,0.174808
Gloria Lasso,Termina La Feria,0.255595,0.175266
Twinkle Twinkle Little Rock Star,Jamming,0.480768,0.175624
Sonny Terry & Brownie McGhee,My Bulldog Blues,0.608919,0.176234
The London Pops Orchestra,Moon River,0.076917,0.176561
Lennie Tristano,317 East 32nd,0.368258,0.176645
Dora The Explorer,ABC (The Alphabet Song),0.884162,0.176665
Oasis,Don't Go Away,0.136883,0.176876
Albert Ayler,Music Is The Healing Force Of The Universe,0.411689,0.177614
Alain Morisod,L'Amour en Heritage,0.038409,0.177729
Michael Gettel,Through Bucky's Eyes,0.039635,0.177814
Gaetano Donizetti,Donizetti: Roberto Devereux: Ah! Ritorna qual ti spero....,0.408125,0.178022
Kitty Wells,This White Circle,0.386028,0.179321
John Ottman,Entanglement,0.03849,0.179689
Buddy Johnson,Because - Part 1,0.163545,0.180277
Robert Lockwood_ Jr.,She's Little And She's Low,0.431025,0.180376
Artie Fishel & The Promised Band,Artie In The Sky,0.66332,0.180406
James Scott Skinner,Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow,0.674683,0.18069
Bebo & Cigala,Inolvidable,0.326759,0.181114
Rated R,Keepin It Real (Skit),0.743107,0.18222
Anne Dudley,Still Lost in the Forest,0.037348,0.182304
Alan Silvestri,Full House,0.076921,0.183271
Georges Brassens,Comme hier,0.527903,0.183621
Cherish The Ladies,The Shaskeen / Gan Ainm,0.928822,0.18368
Mons Leidvin Takle,Blott En Dag,0.115881,0.184126
Twinkle Twinkle Little Rock Star,A Dustland Fairytale,0.230048,0.184276
Rhian Sheehan,Untitled,0.50805,0.18523
Hushabye Baby,You Had Me From Hello (Lullaby Rendition of Kenny Chesney),0.410125,0.185454
Marc Shaiman,City Slickers,0.300777,0.185556
Cal Tjader,Manuel's Mambo,0.572593,0.187272
Bob Marley & The Wailers,Cry On (Acoustic Demo),0.367163,0.187281
Roger Williams,Cool Water,0.527983,0.187289
Loudon Wainwright III,Human Cannonball,0.277871,0.187297
Suzanne Ciani,Mozart,0.237001,0.187526
Shawn Colvin,Sunny Came Home,0.454708,0.188051
Willie Bobo,A Little Tear,0.506763,0.188607
Mary Black,Katie,0.29465,0.188622
Furry Lewis,Everybody's Blues,0.621753,0.189591
Sergio Franchi,Silent Night,0.166278,0.189764
Nicola Fasano feat. Paula B.,Missing,0.127833,0.190246
Nicola Fasano feat. Paula B.,Missing,0.127833,0.190246
Alice Cooper,This House Is Haunted,0.199836,0.190317
Yamandu + Dominguinhos,Chorando Baixinho,0.476604,0.190509
Pee Wee King,Slow Poke,0.810055,0.191288
Moon Mullican,Mona Lisa,0.555842,0.192157
Barbara Lusch,Why Don't You Do Right,0.38552,0.192375
Doug MacLeod,The Sun Shine Down My Way,0.214832,0.193388
Terry Callier,Occasional Rain,0.119809,0.193802
Marc Shaiman,We're New Yorkers Now!,0.073469,0.195182
Queens Of The Stone Age,This Lullaby,0.554018,0.195423
Hot Tuna,Parchman Farm,0.35663,0.195922
Bill Laswell,The Gary Selchie - Solas,0.034662,0.196004
Angelo Badalamenti,Vera Begs Dylan,0.029584,0.196057
Maysa,Ouça,0.432095,0.196071
Roy Rogers,Ride Ranger Ride,0.7498,0.196308
Nicola Fasano Feat. Paula B,Missing (Olivier Berger Mix),0.502345,0.196627
Frankie Randall,Rudolph The Red Nosed Reindeer,0.426058,0.196774
Javier Navarrete,Midnight Swim,0.106535,0.196887
The Smashing Pumpkins,Rotten Apples,0.217128,0.198149
Dolly Parton,Letter To Heaven,0.492237,0.198356
Public Image Ltd,The Suit,0.084484,0.198795
Brazilian Tropical Orchestra,Baby,0.515712,0.198847
Amilcar,L4-L5,0.222847,0.199116
Gustavo Santaolalla,Moving Up,0.173964,0.199442
Juan Diego Flórez / Riccardo Frizza / Orchestra Sinfonica di Milano Giuseppe Verdi,Allegro io son,0.307636,0.199869
Snow Patrol,Just Say Yes,0.441854,0.200553
Snow Patrol,Just Say Yes,0.441854,0.200553
Line Renaud,Il Y A Des Anges,0.319608,0.200742
Aimable,Tango Andorra,0.489893,0.20106
Juana Molina,j Uh!,0.340878,0.201205
Rainer Bielfeldt,Gewisse Leute,0.133242,0.201723
Chango Spasiuk,Autores Anonimos,0.560576,0.201927
Orlando Pops Orchestra,Zip-A-Dee-Doo-Dah (Song of the South),0.280238,0.203159
The Merry Macs,Breezin' Along With the Breeze,0.326716,0.203959
The London Pops Orchestra,The Way We Were,0.158809,0.204061
Craig Wedren,Alone in Love,0.081473,0.204229
Slim Whitman,As You Take A  Walk Through My Mind,0.331823,0.204658
George Dalaras,Ammohostos,0.300234,0.20474
Martin Sexton,Caught In The Rain,0.206984,0.205517
ISRAEL & NEW BREED,Spoken Words by Bishop Joseph Garlington,0.454773,0.205632
Pedro Luis e a Parede,In The Rain,0.13981,0.206381
Antonio Bribiesca,Una noche serena y obscura,0.304718,0.206744
Michèle Bernard,Monsieur qui s'engraisse,0.481816,0.207278
Jackie Wilson,I'm Wanderin',0.618767,0.20748
Descendents,Orgofart,0.038541,0.207576
Rhian Sheehan,An Afternoon On the Moon (Jet Jaguar's Remix),0.049599,0.207773
Bare Jr.,Snippet 15,0.95438,0.208537
Grayson Capps,I See You,0.307002,0.208629
Lionel Rogg,Prelude And Fugue In C Major BWV 531 : Fugue,0.082448,0.208792
Jennifer Clarke,It's Alright,0.200921,0.208845
Barbara Fairchild,Boulevard In Heaven,0.1349,0.20889
The Hokum Boys,Ain't Goin' To Beg You For That Stuff,0.523385,0.208919
Max Steiner,Main Title / The Searchers,0.276233,0.209401
Juana Molina,Isabel,0.187166,0.210206
Carl Doy with NZSO,The First Noel,0.359172,0.210484
Paul Cantelon,Mary In Labor,0.035706,0.211155
Chris Jagger,Still Waters,0.056906,0.212775
David Arkenstone,Over The Rainbow,0.079229,0.213007
Patti Smith,Wing,0.118693,0.213129
New Roanoke Jug Band,I've Been Cryin' Since You've Been Gone,0.044792,0.213876
Rory Block,Three Is a Crowd,0.353645,0.214704
Gary Nichols,Paper Doll,0.513974,0.214938
The Chap,We Are Not Impartial,0.215083,0.215244
Nick Ingman,Sangha the Outcast,0.038706,0.215714
Mario Rosenstock,Bertie's Pets (Bonus Material),0.209867,0.215848
Foo Fighters,If Ever,0.122405,0.216624
Alexis HK,Juste Une Fois,0.488309,0.216775
Charlie Rich,Only Me,0.542307,0.21786
The London Theatre Orchestra,Babylon 5,0.267831,0.217875
Ray Charles,Let's Go,0.641056,0.218895
BoDeans,Lookin' For Me Somewhere,0.757791,0.219227
The Sun Harbor's Chorus-Documentary Recordings,America the Beautiful,0.16233,0.219434
Antonio Koudele,Track TAKE FIVE,0.472455,0.219629
Minipop,Fingerprints,0.163959,0.219971
M83,You Appearing,0.193581,0.219986
Arthur Fiedler;Earl Wild;Pasquale Cardillo,Rhapsody In Blue,0.099266,0.220571
Sonora Santanera,Amor De Cabaret,0.645379,0.221281
The Impressions,I Found You,0.713157,0.221437
Jacques Douai,Pauvre Jean,0.50756,0.223059
Sandy Posey,Touch You,0.331576,0.223172
Andy Griffith,I Love To Tell The Story  (Love To Tell The Story Album Version),0.129883,0.223589
Willie Clancy,Air: My Lagan Love,0.244563,0.223722
Gloria De Haven,Diamonds Are A Girl's Best Friend,0.650567,0.223745
Miriam Yeung,Shang Zhui Ren,0.212832,0.223829
Joselito,Clavelitos,0.797106,0.224634
Tiny Tim,I Hold Your Hand In Mine [Live At Royal Albert Hall],0.60222,0.225057
Johnny Carver,Goodtime Charlie's Got The Blues,0.62057,0.226089
Les Brown,Harlem Nocturne,0.278349,0.226362
Frederic Galliano,Nomades Monades,0.131122,0.226379
Damita Jo,Face To Face,0.180941,0.226712
Paul Avgerinos,Gnosis,0.073317,0.226984
Lisa Lynne,Lake Of Dreams,0.069456,0.227055
Jeanne Pruett,Love Me,0.610894,0.227509
Kris Kristofferson,Killer Barracuda,0.48459,0.228222
Vangelis,Other Side Of Antarctica,0.038428,0.228393
Geggy Tah,Gina,0.21991,0.228564
Wailing Souls,I Am a Rasta Man,0.805257,0.228778
Marcelo Radulovich,Non-Stop Floater,0.086554,0.229414
The Statler Brothers,White Christmas,0.374439,0.229437
Hot Tuna,Candy Man,0.672554,0.229709
Vinícius de Moraes,A volta da mulher morena,0.404157,0.229732
Kris Kristofferson,Darby's Castle,0.541415,0.230211
Martha Wainwright,Who Was I Kidding,0.178069,0.230394
Utopia,Hiroshima,0.257686,0.231271
Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,1. Molto allegro con fuoco,0.223328,0.231651
Drouz,Turn Me Around,0.126821,0.232193
Wesley Tuttle,With Tears In My Eyes,0.709278,0.232349
Kisha,I singe dir es Lied,0.272119,0.232795
Kisha,I singe dir es Lied,0.272119,0.232795
Dionne Warwick,Just One Of Those Things,0.09575,0.233304
John Michael Talbot,Pass Through My Will,0.224368,0.233715
Flor Silvestre,Luna De Octubre,0.728934,0.233962
Jim Reeves,I'd Like To Be,0.700349,0.23498
